id|uri|siglaTipo|codTipo|numero|ano|ementa|dataApresentacao|uriOrgaoNumerador|statusProposicao|uriAutores|descricaoTipo|ementaDetalhada|keywords|uriPropPrincipal|uriPropAnterior|uriPropPosterior|urlInteiroTeor|urnFinal|texto|justificativa
2335693|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335693|PL|139|2627|2022|Altera o art. 9º-C da Lei nº 8.036, de 11 de maio de 1990, que dispõe sobre o Fundo de Garantia do Tempo de Serviço, e dá outras providências.|2022-10-18T12:49||{'dataHora': '2022-11-14T00:00', 'sequencia': 14, 'siglaOrgao': 'CCP', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/186', 'uriUltimoRelator': None, 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Publicação de Proposição', 'codTipoTramitacao': '604', 'descricaoSituacao': 'Aguardando Designação de Relator', 'codSituacao': 907, 'despacho': 'Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 15/11/2022 PAG 265', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335693/autores|Projeto de Lei||Alteração, Lei do FGTS, prorrogação, prazo, aplicação, Fundo de Garantia do Tempo de Serviço (FGTS), operação de crédito, Hospital filantrópico, Entidade sem fins lucrativos, pessoa com deficiência, Sistema Único de Saúde (SUS).||||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210111|||
2335761|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335761|PL|139|2629|2022|"Denomina ""Enoré Antônio Bondan"" a passarela para pedestres localizada no km 238,9 da Rodovia BR-116, no Município de Novo Hamburgo/RS."|2022-10-18T15:02|https://dadosabertos.camara.leg.br/api/v2/orgaos/2016|{'dataHora': '2023-03-29T21:38', 'sequencia': 22, 'siglaOrgao': 'CVT', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2016', 'uriUltimoRelator': 'https://dadosabertos.camara.leg.br/api/v2/deputados/220550', 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Encerramento de Prazo', 'codTipoTramitacao': '600', 'descricaoSituacao': 'Aguardando Parecer', 'codSituacao': 915, 'despacho': 'Encerrado o prazo de 5 sessões para apresentação de emendas ao projeto (de 21/03/2023 a 29/03/2023). Não foram apresentadas emendas.', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335761/autores|Projeto de Lei||Denominação, passarela, pedestre, localização, rodovia federal, Novo Hamburgo (RS), Rio Grande do Sul, homenagem póstuma, empresário.||||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210199|||
2335776|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335776|PL|139|2630|2022|Regulamenta o funcionamento  dos Institutos de pesquisa em todo território nacional.|2022-10-18T15:42||{'dataHora': '2022-11-17T07:47', 'sequencia': 21, 'siglaOrgao': 'CCJC', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2003', 'uriUltimoRelator': None, 'regime': 'Prioridade (Art. 151, II, RICD)', 'descricaoTramitacao': 'Apensação', 'codTipoTramitacao': '106', 'descricaoSituacao': 'Tramitando em Conjunto', 'codSituacao': 925, 'despacho': 'Apensação desta proposição ao PL 11245/2018.', 'url': None, 'ambito': 'Protocolar', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335776/autores|Projeto de Lei||Regulamentação, funcionamento, Instituto de pesquisa, pesquisa eleitoral, eleições, intenção, voto, pesquisa de opinião.|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190073|||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210240|||
2335811|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335811|PL|139|2632|2022|Altera a Lei n.º 12.865, de 2013, para estabelecer novas obrigações aos participantes do Sistema de Pagamentos Brasileiro e do Sistema de Pagamentos Instantâneos com o objetivo de aumentar a segurança das operações cursadas no âmbito desses sistemas.|2022-10-18T18:45||{'dataHora': '2022-11-22T14:25', 'sequencia': 16, 'siglaOrgao': 'CDC', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2004', 'uriUltimoRelator': None, 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Recebimento', 'codTipoTramitacao': '500', 'descricaoSituacao': 'Tramitando em Conjunto', 'codSituacao': 925, 'despacho': 'Recebimento pela CDC, apensado ao PL-3190/2021', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335811/autores|Projeto de Lei||Alteração, lei federal, Sistema de Pagamentos Brasileiro (SBP), Pagamento Instantâneo (Pix), diretrizes, Instituição financeira, consumidor, Banco Central do Brasil (Bacen), combate, fraude, transação eletrônica, medida de segurança.|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2298978|||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210320|||
2335812|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335812|PL|139|2633|2022|Dispõe sobre a oferta de recursos digitais pedagógicos para o estudo dos símbolos nacionais como tema transversal dos currículos do ensino fundamental.|2022-10-18T18:45||{'dataHora': '2022-11-16T17:23', 'sequencia': 14, 'siglaOrgao': 'CE', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2009', 'uriUltimoRelator': None, 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Recebimento', 'codTipoTramitacao': '500', 'descricaoSituacao': 'Aguardando Designação de Relator', 'codSituacao': 907, 'despacho': 'Recebimento pela CE.', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335812/autores|Projeto de Lei||Alteração, Lei dos Símbolos Nacionais, obrigatoriedade, impressão, Código QR, contracapa, material escolar, livro didático, produção, aquisição, recursos, União. _Acesso, dados digitais, proposta pedagógica, estudo, símbolo nacional, tema transversal, currículo escolar, ensino fundamental.||||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210321|||
2335818|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335818|PL|139|2634|2022|Altera a Lei nº 14.284, de 29 de dezembro de 2021, para realocar os recursos do benefício extraordinário do Programa Auxílio Brasil para os benefícios Primeira Infância e Composição Familiar, bem como para atualizar monetariamente as linhas de referência do citado programa; e revoga os arts. 1º a 5º da Lei nº 14.342, de 18 de maio de 2022, na parte em que trata do benefício extraordinário destinado às famílias beneficiárias do Programa Auxílio Brasil.|2022-10-18T19:16||{'dataHora': '2022-11-16T09:30', 'sequencia': 15, 'siglaOrgao': 'CSAUDE', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2014', 'uriUltimoRelator': None, 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Apensação', 'codTipoTramitacao': '106', 'descricaoSituacao': 'Tramitando em Conjunto', 'codSituacao': 925, 'despacho': 'Apensação desta proposição ao PL 2540/2022.', 'url': None, 'ambito': 'Protocolar', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335818/autores|Projeto de Lei||Alteração, lei federal, benefício financeiro, Programa Auxílio Brasil, realocação, recursos, Benefício Primeira Infância, Benefício Composição Familiar, proteção social, mulher, programa de transferência de renda.|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335230|||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210370|||
2335822|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335822|PL|139|2636|2022|Altera a Lei nº 9.504, de 30 de setembro de 1997, que estabelece normas para eleições, para aumentar as penas do crime de divulgação de pesquisas eleitorais, bem como incluir no referido tipo penal a conduta de divulgação de pesquisas cujos percentuais das intenções de voto destoem, além da margem de erro, dos resultados apurados.|2022-10-19T09:40||{'dataHora': '2022-10-24T13:23', 'sequencia': 13, 'siglaOrgao': 'CCP', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/186', 'uriUltimoRelator': None, 'regime': 'Urgência (Art. 155, RICD)', 'descricaoTramitacao': 'Apensação', 'codTipoTramitacao': '106', 'descricaoSituacao': 'Tramitando em Conjunto', 'codSituacao': 925, 'despacho': 'Apensação desta proposição ao PL 96/2011.', 'url': None, 'ambito': 'Protocolar', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335822/autores|Projeto de Lei||Alteração, Lei das Eleições (1997), aumento da pena, divulgação, pesquisa eleitoral, fraude, descumprimento, requisito, margem de erro.  _Critério, Responsabilidade penal, Instituto de pesquisa.|https://dadosabertos.camara.leg.br/api/v2/proposicoes/491042|||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210381|||
2335826|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335826|PL|139|2637|2022|Altera a Lei nº 9.504, de 30 de setembro de 1997, para proibir a publicação, por parte dos institutos de pesquisas, de novas pesquisas eleitorais, nos pleitos subsequentes, nas hipóteses em que se verificar excessiva discrepância entre as intenções de voto manifestadas em suas pesquisas e o resultado das urnas, além de instituir sanção para os diretores e responsáveis desses institutos por disseminação de informação falsa com o intuito de influir na eleição.|2022-10-19T10:02||{'dataHora': '2022-10-24T13:23', 'sequencia': 13, 'siglaOrgao': 'CCP', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/186', 'uriUltimoRelator': None, 'regime': 'Urgência (Art. 155, RICD)', 'descricaoTramitacao': 'Apensação', 'codTipoTramitacao': '106', 'descricaoSituacao': 'Tramitando em Conjunto', 'codSituacao': 925, 'despacho': 'Apensação desta proposição ao PL 96/2011.', 'url': None, 'ambito': 'Protocolar', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335826/autores|Projeto de Lei||Alteração, Lei das Eleições (1997), crime, Divulgação de informação falsa, Ato doloso, Instituto de Pesquisa, divulgação, pesquisa eleitoral, diferença, margem de erro.|https://dadosabertos.camara.leg.br/api/v2/proposicoes/491042|||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210386|||
2335855|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335855|PL|139|2639|2022|Altera o art. 33 da Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições) para determinar que a divulgação de pesquisas eleitorais deve ser acompanhada da divulgação do selo de qualidade atribuído ao instituto ou empresa realizadora da pesquisa.|2022-10-19T11:01||{'dataHora': '2022-11-17T07:47', 'sequencia': 15, 'siglaOrgao': 'CCJC', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2003', 'uriUltimoRelator': None, 'regime': 'Prioridade (Art. 151, II, RICD)', 'descricaoTramitacao': 'Apensação', 'codTipoTramitacao': '106', 'descricaoSituacao': 'Tramitando em Conjunto', 'codSituacao': 925, 'despacho': 'Apensação desta proposição ao PL 11245/2018.', 'url': None, 'ambito': 'Protocolar', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335855/autores|Projeto de Lei||Alteração, Lei das eleições (1997), obrigatoriedade, Selo de qualidade, divulgação, Pesquisa eleitoral, Instituto de Pesquisa, atribuição, Tribunal Superior Eleitoral (TSE), diretrizes.|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190073|||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210424|||
2335859|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335859|PL|139|2640|2022|Altera a Lei nº 4.502, de 30 de novembro de 1964, para dispor sobre o selo tributário digital e gratuito.|2022-10-19T11:31||{'dataHora': '2022-11-16T09:27', 'sequencia': 14, 'siglaOrgao': 'CFT', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2010', 'uriUltimoRelator': None, 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Recebimento', 'codTipoTramitacao': '500', 'descricaoSituacao': 'Aguardando Designação de Relator', 'codSituacao': 907, 'despacho': 'Recebimento pela CFT.', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2335859/autores|Projeto de Lei||Alteração, Lei do Imposto de Consumo, criação, Selo de controle fiscal eletrônicol, utilização, empresa importadora, arrematante, comerciante, repartição, fazenda nacional, produto estrangeiro, controle, quantitativo, modalidade, marcação, numeração. _Selo de controle fiscal eletrônico, gratuidade, obtenção, meio eletrônico.||||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2210428|||
