id|uri|siglaTipo|codTipo|numero|ano|ementa|dataApresentacao|uriOrgaoNumerador|statusProposicao|uriAutores|descricaoTipo|ementaDetalhada|keywords|uriPropPrincipal|uriPropAnterior|uriPropPosterior|urlInteiroTeor|urnFinal|texto|justificativa
303153|https://dadosabertos.camara.leg.br/api/v2/proposicoes/303153|PL|139|618|2022|Dispõe sobre o exercício da profissão de Podólogo e dá outras providências.|2005-10-11T14:41|https://dadosabertos.camara.leg.br/api/v2/orgaos/2014|"{'dataHora': '2023-03-28T18:55', 'sequencia': 155, 'siglaOrgao': 'MESA', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/4', 'uriUltimoRelator': 'https://dadosabertos.camara.leg.br/api/v2/deputados/204412', 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Distribuição', 'codTipoTramitacao': '110', 'descricaoSituacao': 'Aguardando Designação de Relator', 'codSituacao': 907, 'despacho': 'Decisão da Presidência  de 28/03/2023, conforme o seguinte teor: ""Tendo em vista a edição da Resolução da Câmara dos Deputados n. 1/2023 [...], criando a Comissão de Trabalho e a Comissão de Administração e Serviço Público, revejo o despacho de distribuição aposto...""...""para o fim de determinar sua redistribuição à Comissão de Trabalho, em substituição à Comissão de Trabalho, de Administração e Serviço Público, extinta pela mesma Resolução."".', 'url': 'https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2250790', 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}"|https://dadosabertos.camara.leg.br/api/v2/proposicoes/303153/autores|Projeto de Lei|Regulamentando o exercício profissional da Podologia.|Regulamentação, profissão, Podólogo, competência, requisitos, deveres.|||http://legis.senado.leg.br/dadosabertos/materia/PLC/151/2015|https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=346994|||
587207|https://dadosabertos.camara.leg.br/api/v2/proposicoes/587207|PL|139|1367|2022|Dispõe sobre a prestação dos serviços de controle integrado de vetores e pragas urbanas por empresas especializadas, e dá outras providências.|2013-08-14T18:06|https://dadosabertos.camara.leg.br/api/v2/orgaos/2001|{'dataHora': '2023-03-30T00:00', 'sequencia': 104, 'siglaOrgao': 'CAPADR', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2001', 'uriUltimoRelator': 'https://dadosabertos.camara.leg.br/api/v2/deputados/178871', 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Designação de Relator', 'codTipoTramitacao': '320', 'descricaoSituacao': 'Aguardando Parecer', 'codSituacao': 915, 'despacho': 'Designado Relator, Dep. Evair Vieira de Melo (PP-ES)', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/587207/autores|Projeto de Lei||Regulamentação, atividade, empresa especializada, controle de praga.|||http://legis.senado.leg.br/dadosabertos/materia/PLC/65/2016|https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1115886|||
597587|https://dadosabertos.camara.leg.br/api/v2/proposicoes/597587|PL|139|3062|2022|Altera a redação dos arts. 14, 17 e 18 da Lei nº 11.794, de 8 de outubro de 2008, para dispor sobre a vedação da utilização de animais em atividades de ensino, pesquisas e testes laboratoriais com substâncias para o desenvolvimento de produtos de uso cosmético em humanos e aumentar os valores de multa nos casos de violação de seus dispositivos.|2013-10-22T10:53|https://dadosabertos.camara.leg.br/api/v2/orgaos/180|{'dataHora': '2023-02-02T00:00', 'sequencia': 81, 'siglaOrgao': 'CCP', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/186', 'uriUltimoRelator': 'https://dadosabertos.camara.leg.br/api/v2/deputados/167493', 'regime': 'Urgência (Art. 155, RICD)', 'descricaoTramitacao': 'Publicação de Proposição', 'codTipoTramitacao': '604', 'descricaoSituacao': 'Pronta para Pauta', 'codSituacao': 924, 'despacho': 'Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 03/02/2023, Letra B.', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/597587/autores|Projeto de Lei||Alteração, proibição, utilização, animal, pesquisa, experimentação, laboratório, produção, cosmético, aumento, penalidade.|||http://legis.senado.leg.br/dadosabertos/materia/PLC/70/2014|https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1163877|||
996806|https://dadosabertos.camara.leg.br/api/v2/proposicoes/996806|PL|139|1637|2022|Dispõe sobre a avaliação psicológica de gestantes e puérperas.|2015-03-12T15:02|https://dadosabertos.camara.leg.br/api/v2/orgaos/2014|{'dataHora': '2023-03-30T00:00', 'sequencia': 87, 'siglaOrgao': 'CMULHER', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/537870', 'uriUltimoRelator': 'https://dadosabertos.camara.leg.br/api/v2/deputados/204534', 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Designação de Relator', 'codTipoTramitacao': '320', 'descricaoSituacao': 'Aguardando Parecer', 'codSituacao': 915, 'despacho': 'Designada Relatora, Dep. Tabata Amaral (PSB-SP)', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/996806/autores|Projeto de Lei||Avaliação psicológica, gestante, puérpera, pré-natal, diagnóstico, depressão pós-parto, riscos, saúde mental, mulher, gravidez.|||http://legis.senado.leg.br/dadosabertos/materia/PLC/98/2018|https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1308854|||
2053152|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2053152|PL|139|2053|2022|Institui o Dia Nacional das Tradições das Raízes de Matrizes Africanas e Nações do Candomblé.|2015-11-05T17:22|https://dadosabertos.camara.leg.br/api/v2/orgaos/536996|"{'dataHora': '2023-02-08T14:35', 'sequencia': 119, 'siglaOrgao': 'MESA', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/4', 'uriUltimoRelator': 'https://dadosabertos.camara.leg.br/api/v2/deputados/160575', 'regime': 'Urgência (Art. 155, RICD)', 'descricaoTramitacao': 'Apresentação de Proposição', 'codTipoTramitacao': '100', 'descricaoSituacao': 'Transformado em Norma Jurídica', 'codSituacao': 1140, 'despacho': 'Apresentação da Mensagem n. 2053/2022, pelo Poder Executivo, que ""Comunica o Excelentíssimo Senhor Presidente da República a sanção do projeto de lei que “Institui o Dia Nacional das Tradições das Raízes de Matrizes Africanas e Nações do Candomblé.     ” restitui para o arquivo do Congresso Nacional, dois autógrafos do texto ora convertido na Lei nº 14.519,  de 5   de janeiro   de 2023."".', 'url': 'https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2234901', 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}"|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2053152/autores|Projeto de Lei||Criação, Dia Nacional das Tradições das Raízes de Matrizes Africanas e Nações do Candomblé, comemoração, setembro.|||http://legis.senado.leg.br/dadosabertos/materia/PLC/69/2018|https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1409514|||
2313792|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313792|PL|139|13|2022|Determina às empresas de transporte de passageiros a implantação de rastreamento no transporte de PETs – animais de estimação|2022-02-02T16:12|https://dadosabertos.camara.leg.br/api/v2/orgaos/180|{'dataHora': '2022-12-01T09:00', 'sequencia': 52, 'siglaOrgao': 'PLEN', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/180', 'uriUltimoRelator': 'https://dadosabertos.camara.leg.br/api/v2/deputados/204494', 'regime': 'Urgência (Art. 155, RICD)', 'descricaoTramitacao': 'Encerramentos', 'codTipoTramitacao': '1244', 'descricaoSituacao': 'Pronta para Pauta', 'codSituacao': 924, 'despacho': 'Matéria não apreciada em face do encerramento da Ordem do Dia.', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313792/autores|Projeto de Lei||Obrigatoriedade, Empresa de transporte, transporte terrestre, transporte fluvial, transporte aéreo, rastreamento, animal doméstico. _ Critério, acomodação,  bem-estar, transporte, animal doméstico.||||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2130904|||
2313793|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313793|PL|139|15|2022|"Altera a Lei nº 10.260, de 20 de
julho de 2001, que dispõe sobre o
Fundo de Financiamento ao
estudante do Ensino Superior,
para conceder desconto na
quitação antecipada das parcelas
do FIES."|2022-02-02T16:12||{'dataHora': '2023-03-15T14:49', 'sequencia': 21, 'siglaOrgao': 'CE', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2009', 'uriUltimoRelator': None, 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Notificação de Apensação', 'codTipoTramitacao': '504', 'descricaoSituacao': 'Tramitando em Conjunto', 'codSituacao': 925, 'despacho': 'Apensação do PL 2578/2022 a esta proposição.', 'url': None, 'ambito': 'Protocolar', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313793/autores|Projeto de Lei||Alteração, Lei do Financiamento Estudantil, critério, desconto, estudante, antecipação, parcela, liquidação, saldo devedor, Fundo de Financiamento Estudantil (Fies).|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2212449|||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2130906|||
2313794|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313794|PL|139|16|2022|Estabelece medidas no enfrentamento da corrupção nos órgãos da administração pública direta e indireta, e dá outras providências|2022-02-02T16:12||{'dataHora': '2022-02-09T12:49', 'sequencia': 16, 'siglaOrgao': 'CTRAB', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/2015', 'uriUltimoRelator': None, 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Apensação', 'codTipoTramitacao': '106', 'descricaoSituacao': None, 'codSituacao': None, 'despacho': 'Apensação desta proposição ao PL 9167/2017.', 'url': None, 'ambito': 'Protocolar', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313794/autores|Projeto de Lei||Garantia, proteção, agente público, Denunciante, Suspeição, corrupção, improbidade administrativa, Crime contra a administração pública. _ Diretrizes, apuração, denúncia, decisão, Poder Público|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2163248|||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2130908|||
2313795|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313795|PL|139|17|2022|Declara a pratica esportiva do surfe como Patrimônio Cultural e Imaterial do Brasil|2022-02-02T16:13|https://dadosabertos.camara.leg.br/api/v2/orgaos/536996|{'dataHora': '2023-01-31T00:00', 'sequencia': 21, 'siglaOrgao': 'CCULT', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/536996', 'uriUltimoRelator': 'https://dadosabertos.camara.leg.br/api/v2/deputados/204511', 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Saída de Relator da Comissão - Com Parecer Apresentado', 'codTipoTramitacao': '1255', 'descricaoSituacao': 'Aguardando Designação de Relator', 'codSituacao': 907, 'despacho': '(Fim de Legislatura) O Relator, Dep. David Soares, deixou de ser membro da Comissão', 'url': None, 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313795/autores|Projeto de Lei||Declaração, esporte, surfe, Patrimônio cultural, Patrimônio imaterial.||||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2130910|||
2313796|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313796|PL|139|18|2022|Estabelece a proibição de organização com o objetivo de difundir ideias nazistas, segregacionistas, discriminatórias, preconceituosas, eugênicas e propagação de violência ou ódio, seja em qualquer meio de comunicação e dá outras providencias.|2022-02-02T16:13||{'dataHora': '2023-03-28T18:33', 'sequencia': 17, 'siglaOrgao': 'MESA', 'uriOrgao': 'https://dadosabertos.camara.leg.br/api/v2/orgaos/4', 'uriUltimoRelator': None, 'regime': 'Ordinário (Art. 151, III, RICD)', 'descricaoTramitacao': 'Notificação de Apensação', 'codTipoTramitacao': '504', 'descricaoSituacao': 'Tramitando em Conjunto', 'codSituacao': 925, 'despacho': 'Apense-se a este(a) o(a) PL-145/2023.', 'url': 'https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2234909', 'ambito': 'Regimental', 'apreciacao': 'Proposição Sujeita à Apreciação do Plenário'}|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2313796/autores|Projeto de Lei||Tipicidade penal, criação, organização, finalidade, difusão, nazismo. _Divulgação, nazismo, discriminação, racismo, violência, ódio, mídia. _ Aquisição, comercialização, símbolo, nazismo. _ Reclusão, regime fechado. _ Impossibilidade, graça (direito penal), perdão judicial, anistia, Progressão de regime prisional, Crime imprescritível.|https://dadosabertos.camara.leg.br/api/v2/proposicoes/2264517|||https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2130912|||
